project,datapoint,n_commits,n_files,n_files_updated_i,shared_files
commons-lang,2ad132e15621c2ed103da68611cfeec056dd612c_23d766dcb30996bf166cd74f5a0116aa2b40dc72,3,6,2,0
commons-lang,2ad132e15621c2ed103da68611cfeec056dd612c_4a3781fb888da27d9e90f37815829285897b2327,4,18,15,3
commons-lang,23d766dcb30996bf166cd74f5a0116aa2b40dc72_4a3781fb888da27d9e90f37815829285897b2327,2,15,15,1
commons-lang,23d766dcb30996bf166cd74f5a0116aa2b40dc72_dc9c2223bae185fefdc477183006b0340ffe6914,3,75,68,8
commons-lang,70eb42361cf54a7374eaf6d174291f56ce3753b2_4a650099a75a9325de694060739e160b16c2b21a,2,5,4,2
commons-lang,70eb42361cf54a7374eaf6d174291f56ce3753b2_65bdff34f8853e0e7862f6111c29dbc5807e62fd,3,18,15,3
commons-lang,70eb42361cf54a7374eaf6d174291f56ce3753b2_af2323e41a007e0b03b2e921a4e50526e28c5ed2,4,18,1,4
commons-lang,65bdff34f8853e0e7862f6111c29dbc5807e62fd_af2323e41a007e0b03b2e921a4e50526e28c5ed2,2,2,1,0
commons-lang,65bdff34f8853e0e7862f6111c29dbc5807e62fd_b602e545617c9637fe13c0d525e3b9b9b7bf8ade,3,2,1,1
commons-lang,65bdff34f8853e0e7862f6111c29dbc5807e62fd_c3dfcc7cc09d20dfa97c36a3ba8166ca106c0daa,4,171,171,2
commons-lang,b602e545617c9637fe13c0d525e3b9b9b7bf8ade_c3dfcc7cc09d20dfa97c36a3ba8166ca106c0daa,2,171,171,1
commons-lang,b602e545617c9637fe13c0d525e3b9b9b7bf8ade_746b4ed593642977fbcc049fd176b58ad866494f,3,171,12,12
commons-lang,b602e545617c9637fe13c0d525e3b9b9b7bf8ade_3814b58ddc878ad45f72196ee018e3103c1af37e,4,171,4,15
commons-lang,746b4ed593642977fbcc049fd176b58ad866494f_3814b58ddc878ad45f72196ee018e3103c1af37e,2,5,4,0
commons-lang,746b4ed593642977fbcc049fd176b58ad866494f_463a65b82d5407907eb384e7107ba42822197af0,3,16,11,0
commons-lang,746b4ed593642977fbcc049fd176b58ad866494f_bc22786f3ec98bfe16bb16710069aeb7895965aa,4,18,6,4
